INFO:2023-03-08 12:12:11,987: Epoch [2/250], Step [1300/2474], Mel Loss: 0.75143, Adv Loss: 0.71396, Disc Loss: 1.37557, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:13:32,425: Epoch [2/250], Step [1350/2474], Mel Loss: 0.75270, Adv Loss: 0.73331, Disc Loss: 1.39413, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:14:53,053: Epoch [2/250], Step [1400/2474], Mel Loss: 0.74238, Adv Loss: 0.66155, Disc Loss: 1.36898, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:16:14,913: Epoch [2/250], Step [1450/2474], Mel Loss: 0.74039, Adv Loss: 0.66501, Disc Loss: 1.37160, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:17:37,076: Epoch [2/250], Step [1500/2474], Mel Loss: 0.74357, Adv Loss: 0.73133, Disc Loss: 1.38279, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:18:57,545: Epoch [2/250], Step [1550/2474], Mel Loss: 0.74633, Adv Loss: 0.74601, Disc Loss: 1.38465, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:20:17,493: Epoch [2/250], Step [1600/2474], Mel Loss: 0.74402, Adv Loss: 0.75427, Disc Loss: 1.38294, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:21:36,519: Epoch [2/250], Step [1650/2474], Mel Loss: 0.73777, Adv Loss: 0.68782, Disc Loss: 1.37611, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:22:58,252: Epoch [2/250], Step [1700/2474], Mel Loss: 0.74292, Adv Loss: 0.64392, Disc Loss: 1.37259, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:24:20,032: Epoch [2/250], Step [1750/2474], Mel Loss: 0.75147, Adv Loss: 0.76943, Disc Loss: 1.38698, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:25:43,824: Epoch [2/250], Step [1800/2474], Mel Loss: 0.73660, Adv Loss: 0.60831, Disc Loss: 1.37451, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:27:05,346: Epoch [2/250], Step [1850/2474], Mel Loss: 0.74074, Adv Loss: 0.72002, Disc Loss: 1.37635, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:28:25,848: Epoch [2/250], Step [1900/2474], Mel Loss: 0.73864, Adv Loss: 0.65949, Disc Loss: 1.37802, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:29:47,650: Epoch [2/250], Step [1950/2474], Mel Loss: 0.73745, Adv Loss: 0.62109, Disc Loss: 1.39989, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:31:09,596: Epoch [2/250], Step [2000/2474], Mel Loss: 0.73707, Adv Loss: 0.75296, Disc Loss: 1.38346, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:32:31,561: Epoch [2/250], Step [2050/2474], Mel Loss: 0.73174, Adv Loss: 0.74082, Disc Loss: 1.35477, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:33:53,564: Epoch [2/250], Step [2100/2474], Mel Loss: 0.74387, Adv Loss: 0.72836, Disc Loss: 1.37650, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:35:14,586: Epoch [2/250], Step [2150/2474], Mel Loss: 0.73790, Adv Loss: 0.74288, Disc Loss: 1.38796, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:36:37,595: Epoch [2/250], Step [2200/2474], Mel Loss: 0.74012, Adv Loss: 0.73831, Disc Loss: 1.38679, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:37:58,677: Epoch [2/250], Step [2250/2474], Mel Loss: 0.72697, Adv Loss: 0.70759, Disc Loss: 1.39117, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:39:20,452: Epoch [2/250], Step [2300/2474], Mel Loss: 0.72659, Adv Loss: 0.74220, Disc Loss: 1.37760, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:40:41,079: Epoch [2/250], Step [2350/2474], Mel Loss: 0.73529, Adv Loss: 0.73910, Disc Loss: 1.37629, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:42:02,249: Epoch [2/250], Step [2400/2474], Mel Loss: 0.72798, Adv Loss: 0.67672, Disc Loss: 1.37224, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:43:23,597: Epoch [2/250], Step [2450/2474], Mel Loss: 0.73434, Adv Loss: 0.69040, Disc Loss: 1.37068, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:43:53,730: Validation mel loss: 0.814
INFO:2023-03-08 12:45:16,706: Epoch [3/250], Step [50/2474], Mel Loss: 0.72642, Adv Loss: 0.69232, Disc Loss: 1.37271, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:46:37,603: Epoch [3/250], Step [100/2474], Mel Loss: 0.72196, Adv Loss: 0.71019, Disc Loss: 1.38466, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:47:58,981: Epoch [3/250], Step [150/2474], Mel Loss: 0.72620, Adv Loss: 0.71722, Disc Loss: 1.38825, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:49:19,444: Epoch [3/250], Step [200/2474], Mel Loss: 0.72636, Adv Loss: 0.73221, Disc Loss: 1.36889, Mono Loss: 0.00000, S2S Loss: 0.00000
INFO:2023-03-08 12:50:40,919: Epoch [3/250], Step [250/2474], Mel Loss: 0.72312, Adv Loss: 0.68361, Disc Loss: 1.39046, Mono Loss: 0.00000, S2S Loss: 0.00000
